MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
        21,    2.930000e-03,    6.731949e-04,   -6.432831e-04,    1.176124e-03,   -9.328684e-04,   -1.039331e-03,    9.505224e-04,   -7.969713e-04,    6.659526e-04,    6.602940e-01,   -5.422880e-01,   -1.631289e-01,    5.214628e-01,    3.610951e-01,   -1.448593e-01,   -8.541871e-01,    3.173405e-01,    7.673000e-04,   -7.205700e-04,    1.164500e-03,   -8.957100e-04,   -1.013600e-03,    9.402000e-04,   -9.187100e-04,    7.111800e-04,    1.425200e-04,    1.425200e-04,    7.125800e-05,    7.125800e-05,    7.125800e-05,    7.125800e-05,    1.425200e-04,    1.425200e-04,
        22,    2.930000e-03,    1.127399e-04,   -9.714346e-05,    1.833100e-04,   -2.419334e-04,   -3.320743e-05,    9.264969e-05,   -1.827069e-05,    3.032960e-06,   -1.201866e-02,   -4.555672e-01,    6.830581e-01,    6.317480e-01,    1.749534e+00,   -3.910345e-01,   -1.472134e-01,    3.059770e+00,    1.125400e-04,   -1.047200e-04,    1.889900e-04,   -2.366800e-04,   -1.865900e-05,    8.939800e-05,   -2.071900e-05,    5.392000e-05,    1.663100e-05,    1.663100e-05,    8.315600e-06,    8.315600e-06,    8.315600e-06,    8.315600e-06,    1.663100e-05,    1.663100e-05,
        23,    2.930000e-03,    6.967903e-04,   -2.216385e-04,    1.121892e-03,   -3.850327e-04,   -5.538808e-04,    2.668919e-04,   -8.304551e-04,    2.262778e-04,    2.412116e-01,   -3.020836e-01,    9.014269e-01,    1.841942e+00,   -4.088791e-01,   -2.026476e-01,   -4.445704e-01,   -1.727317e-01,    7.177200e-04,   -2.478500e-04,    1.161000e-03,   -3.051200e-04,   -5.716200e-04,    2.581000e-04,   -8.690300e-04,    2.112900e-04,    8.676900e-05,    8.676900e-05,    4.338500e-05,    4.338500e-05,    4.338500e-05,    4.338500e-05,    8.676900e-05,    8.676900e-05,
        24,    2.930000e-03,   -2.380652e-04,    2.332245e-04,    3.521900e-04,   -2.253560e-04,   -1.246249e-03,    1.662139e-03,    1.314448e-03,   -3.107915e-04,    3.776463e-01,    6.799351e-01,    1.172827e+00,    1.773040e+00,   -1.923746e+00,   -2.797251e+00,    1.174450e+00,    1.807002e+00,   -2.027100e-04,    2.968800e-04,    4.070900e-04,   -1.423600e-04,   -1.336300e-03,    1.531200e-03,    1.424400e-03,   -1.416200e-04,    9.362000e-05,    9.362000e-05,    4.681000e-05,    4.681000e-05,    4.681000e-05,    4.681000e-05,    9.362000e-05,    9.362000e-05,
        25,    2.930000e-03,   -1.040246e-03,    4.508037e-04,    1.726472e-03,   -1.068448e-03,   -2.175135e-03,    2.461860e-03,   -1.157272e-03,    1.174814e-03,   -1.189286e+00,    1.253819e+00,   -2.231152e-02,    2.844854e+00,    2.007300e-01,    4.108818e-01,   -1.236906e-01,    4.784417e-02,   -1.335700e-03,    7.622900e-04,    1.723700e-03,   -7.150600e-04,   -2.150200e-03,    2.512900e-03,   -1.188000e-03,    1.186700e-03,    2.484300e-04,    2.484300e-04,    1.242200e-04,    1.242200e-04,    1.242200e-04,    1.242200e-04,    2.484300e-04,    2.484300e-04,
        26,    2.930000e-03,   -6.994577e-04,    3.768915e-04,    8.231693e-04,   -3.989303e-04,   -9.887584e-04,    7.618629e-04,    6.382463e-04,   -8.714570e-05,    6.016010e-01,   -2.389665e-01,   -5.151831e-01,    8.836533e-01,   -1.658429e+00,    9.578838e-02,   -6.516535e-01,   -2.892439e-01,   -6.349300e-04,    3.512600e-04,    7.955400e-04,   -3.515400e-04,   -1.077700e-03,    7.670000e-04,    5.683500e-04,   -1.181700e-04,    1.072600e-04,    1.072600e-04,    5.363000e-05,    5.363000e-05,    5.363000e-05,    5.363000e-05,    1.072600e-04,    1.072600e-04,
        27,    2.930000e-03,    1.449771e-04,   -3.801473e-04,    4.805623e-04,   -4.713954e-04,   -1.108698e-03,    2.180942e-03,   -8.458689e-04,    1.074079e-03,    1.272245e+00,   -2.953042e-01,   -1.429893e+00,    2.037000e-01,    3.245143e+00,    1.970009e+00,    1.994757e+00,   -1.565369e+00,    3.005600e-04,   -4.162600e-04,    3.931300e-04,   -4.589400e-04,   -9.102700e-04,    2.301400e-03,   -6.019300e-04,    8.826500e-04,    1.222900e-04,    1.222900e-04,    6.114600e-05,    6.114600e-05,    6.114600e-05,    6.114600e-05,    1.222900e-04,    1.222900e-04,
        28,    2.930000e-03,    5.149298e-04,   -2.040810e-04,    6.329500e-04,   -4.618715e-04,    1.666944e-04,    5.214804e-05,    2.689854e-04,   -1.608849e-04,   -1.840071e-01,    7.880403e-01,    5.953138e-01,    2.651885e+00,    1.594251e+00,    1.052020e+00,    3.785803e-01,   -3.258762e-01,    5.075300e-04,   -1.723900e-04,    6.449200e-04,   -4.085500e-04,    1.987500e-04,    7.330100e-05,    2.842100e-04,   -1.739900e-04,    4.021500e-05,    4.021500e-05,    2.010700e-05,    2.010700e-05,    2.010700e-05,    2.010700e-05,    4.021500e-05,    4.021500e-05,
        29,    2.930000e-03,    2.299089e-03,   -2.134816e-03,    1.484630e-03,   -2.099700e-03,   -1.317837e-03,    1.346455e-03,   -6.206734e-04,    7.833540e-04,   -7.485029e-01,   -1.058532e-01,   -6.141608e-01,   -4.895825e-02,    2.658641e-01,   -1.163308e+00,   -6.096068e-01,    4.007157e-01,    2.140100e-03,   -2.157300e-03,    1.419400e-03,   -2.104900e-03,   -1.289600e-03,    1.222900e-03,   -7.501600e-04,    8.684700e-04,    2.124100e-04,    2.124100e-04,    1.062100e-04,    1.062100e-04,    1.062100e-04,    1.062100e-04,    2.124100e-04,    2.124100e-04,
        30,    2.930000e-03,    2.520225e-03,   -3.202957e-03,    4.351211e-03,   -3.319572e-03,   -6.512666e-03,    7.787034e-03,   -7.519175e-03,    5.990809e-03,    8.484394e-01,   -3.284530e-01,   -1.780113e+00,    1.722866e+00,   -1.155680e+00,    7.940987e-01,    6.853140e-01,   -1.350430e+00,    3.114200e-03,   -3.432900e-03,    3.728100e-03,   -2.716500e-03,   -6.917200e-03,    8.065000e-03,   -7.039400e-03,    5.045400e-03,    7.000800e-04,    7.000800e-04,    3.500400e-04,    3.500400e-04,    3.500400e-04,    3.500400e-04,    7.000800e-04,    7.000800e-04,
