MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
        26,    5.860000e-03,   -8.763815e-04,    3.937963e-04,    9.068013e-04,   -6.874584e-04,   -1.298577e-03,    9.446610e-04,    6.335710e-04,   -2.368408e-04,    7.726186e-01,   -4.963084e-01,   -1.074162e+00,    1.323362e-01,   -1.706218e+00,   -2.032561e+00,   -7.584877e-01,   -1.211447e+00,   -7.741100e-04,    3.281000e-04,    8.357100e-04,   -6.787000e-04,   -1.411500e-03,    8.101400e-04,    5.331700e-04,   -3.972000e-04,    1.323700e-04,    1.323700e-04,    6.618300e-05,    6.618300e-05,    6.618300e-05,    6.618300e-05,    1.323700e-04,    1.323700e-04,
        27,    5.860000e-03,    3.210134e-04,   -5.816324e-04,    6.174301e-04,   -7.160484e-04,   -2.006033e-03,    3.385034e-03,   -1.227699e-03,    1.507256e-03,    1.302642e+00,   -2.849341e-02,   -1.105633e+00,   -5.763057e-01,   -6.545721e-01,    5.412426e+00,    1.788868e+00,    8.548804e-01,    5.851500e-04,   -5.874100e-04,    5.053300e-04,   -7.744800e-04,   -2.072400e-03,    3.933800e-03,   -8.649700e-04,    1.680600e-03,    2.027700e-04,    2.027700e-04,    1.013900e-04,    1.013900e-04,    1.013900e-04,    1.013900e-04,    2.027700e-04,    2.027700e-04,
        28,    5.860000e-03,    6.298338e-04,   -2.790804e-05,    8.371675e-04,   -5.026622e-04,    1.829835e-04,    2.296178e-04,    3.502130e-04,   -1.552333e-04,   -5.132712e-01,   -5.848081e-01,   -2.026705e+00,    1.725583e+00,    5.017792e-01,   -6.959437e-02,   -1.493660e-01,   -6.733546e-01,    6.030200e-04,   -5.845900e-05,    7.842300e-04,   -4.575900e-04,    1.960900e-04,    2.278000e-04,    3.424100e-04,   -1.904100e-04,    5.224100e-05,    5.224100e-05,    2.612000e-05,    2.612000e-05,    2.612000e-05,    2.612000e-05,    5.224100e-05,    5.224100e-05,
        29,    5.860000e-03,    3.122519e-03,   -2.596911e-03,    2.207635e-03,   -2.912704e-03,   -1.799937e-03,    1.740328e-03,   -9.557630e-04,    9.135739e-04,   -1.123799e+00,   -1.145687e+00,   -1.181699e-01,   -1.230651e+00,    4.993148e-01,   -7.171347e-01,   -6.571061e-01,    4.335226e-01,    2.785200e-03,   -2.940800e-03,    2.189900e-03,   -3.097400e-03,   -1.725000e-03,    1.632700e-03,   -1.153000e-03,    1.043700e-03,    3.001600e-04,    3.001600e-04,    1.500800e-04,    1.500800e-04,    1.500800e-04,    1.500800e-04,    3.001600e-04,    3.001600e-04,
        30,    5.860000e-03,    4.058495e-03,   -4.177600e-03,    5.861302e-03,   -3.848535e-03,   -1.000983e-02,    1.026960e-02,   -1.051491e-02,    6.440606e-03,    1.158506e+00,   -6.620152e-01,   -2.358761e+00,    6.722082e-01,   -1.406404e+00,    2.160204e-01,    1.650416e+00,   -1.867343e-01,    5.146100e-03,   -4.799100e-03,    4.754100e-03,   -3.533000e-03,   -1.067000e-02,    1.037100e-02,   -8.965500e-03,    6.265300e-03,    9.388000e-04,    9.388000e-04,    4.694000e-04,    4.694000e-04,    4.694000e-04,    4.694000e-04,    9.388000e-04,    9.388000e-04,
        31,    5.860000e-03,    3.174225e-04,   -1.619491e-04,    3.060085e-04,   -2.536613e-04,   -1.470764e-03,    9.669648e-04,   -9.247017e-04,    3.301633e-04,    1.024006e-01,   -4.003046e-01,   -1.209486e+00,    1.249468e+00,    2.042414e+00,    1.145445e-01,   -3.491865e-01,    5.962043e-01,    3.251200e-04,   -1.920400e-04,    2.605500e-04,   -2.067000e-04,   -1.394000e-03,    9.712700e-04,   -9.509500e-04,    3.749800e-04,    7.517000e-05,    7.517000e-05,    3.758500e-05,    3.758500e-05,    3.758500e-05,    3.758500e-05,    7.517000e-05,    7.517000e-05,
        32,    5.860000e-03,    1.098377e-03,   -5.242347e-04,    1.413030e-03,   -8.809221e-04,   -2.863256e-03,    1.914252e-03,   -1.642996e-03,    5.470844e-04,    1.103369e+00,    1.420853e-01,   -3.478603e-01,   -4.799154e-01,    5.823344e-01,    4.084619e-01,   -5.445166e-01,   -2.085408e-01,    1.361200e-03,   -4.903900e-04,    1.371600e-03,   -9.380800e-04,   -2.793900e-03,    1.962900e-03,   -1.772700e-03,    4.974100e-04,    2.382000e-04,    2.382000e-04,    1.191000e-04,    1.191000e-04,    1.191000e-04,    1.191000e-04,    2.382000e-04,    2.382000e-04,
        33,    5.860000e-03,    1.070418e-04,   -2.768076e-04,    1.052513e-03,   -9.913598e-04,   -2.437999e-03,    2.662114e-03,   -2.717712e-04,    4.550902e-04,    9.418011e-02,   -6.801054e-02,   -1.307917e+00,    9.888849e-01,   -1.002928e+00,    1.483754e+00,    9.454328e-01,   -1.190974e+00,    1.277200e-04,   -2.917400e-04,    9.089300e-04,   -8.828000e-04,   -2.548100e-03,    2.825000e-03,   -6.419200e-05,    1.936000e-04,    2.195600e-04,    2.195600e-04,    1.097800e-04,    1.097800e-04,    1.097800e-04,    1.097800e-04,    2.195600e-04,    2.195600e-04,
        34,    5.860000e-03,   -1.277025e-04,    1.475737e-04,    2.660073e-04,   -4.407908e-04,   -6.194268e-04,    1.023216e-03,   -6.446500e-04,    3.724619e-04,   -2.130642e+00,    1.166685e+00,   -2.123518e-01,   -1.608847e+00,    1.367838e+00,    4.239560e-01,    4.356940e-01,   -1.099784e-02,   -3.024300e-04,    2.432500e-04,    2.573000e-04,   -5.067600e-04,   -5.633400e-04,    1.040600e-03,   -6.089200e-04,    3.715600e-04,    8.200700e-05,    8.200700e-05,    4.100400e-05,    4.100400e-05,    4.100400e-05,    4.100400e-05,    8.200700e-05,    8.200700e-05,
        35,    5.860000e-03,    2.143773e-03,   -8.152737e-04,    2.404152e-03,   -1.152295e-03,   -3.986010e-03,    2.154472e-03,   -2.186604e-03,    4.626299e-04,    4.707307e-01,    3.844541e-01,    3.515781e-01,   -4.633419e-01,   -1.623031e-01,   -2.883540e-01,   -5.588907e-01,   -4.763088e-02,    2.310200e-03,   -6.793500e-04,    2.466300e-03,   -1.234200e-03,   -4.014700e-03,    2.103500e-03,   -2.384200e-03,    4.457900e-04,    3.535500e-04,    3.535500e-04,    1.767700e-04,    1.767700e-04,    1.767700e-04,    1.767700e-04,    3.535500e-04,    3.535500e-04,
